State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Haryana,"Yamuna Nagar",Sadhaura,Apple,Other,Medium,23/04/2025,13000,13000,13000
"Himachal Pradesh",Chamba,Chamba,"Bhindi(Ladies Finger)",Bhindi,FAQ,23/04/2025,5000,5500,5250
"Himachal Pradesh",Chamba,Chamba,Coriander(Leaves),Other,FAQ,23/04/2025,3500,4000,3750
"Himachal Pradesh",Chamba,Chamba,Raddish,Other,FAQ,23/04/2025,1500,2000,1750
"Himachal Pradesh",Hamirpur,Hamirpur,Brinjal,Other,FAQ,23/04/2025,2000,2200,2100
"Himachal Pradesh",Hamirpur,Hamirpur,Guava,Other,Medium,23/04/2025,8000,9000,8500
"Himachal Pradesh",Hamirpur,Hamirpur,"Karbuja(Musk Melon)",Other,Medium,23/04/2025,3000,3500,3200
"Himachal Pradesh",Hamirpur,Hamirpur,Lemon,Other,FAQ,23/04/2025,13000,13500,13200
"Himachal Pradesh",Hamirpur,Hamirpur,Mango,Totapuri,Medium,23/04/2025,7000,8000,7500
"Himachal Pradesh",Hamirpur,Hamirpur,"Mousambi(Sweet Lime)",Other,Medium,23/04/2025,5000,5000,5000
"Himachal Pradesh",Hamirpur,Hamirpur,Raddish,Other,FAQ,23/04/2025,1500,1800,1600
"Himachal Pradesh",Hamirpur,Hamirpur(Nadaun),Capsicum,Other,FAQ,23/04/2025,2000,2000,2000
"Himachal Pradesh",Hamirpur,Hamirpur(Nadaun),Cucumbar(Kheera),Other,FAQ,23/04/2025,1600,2000,1800
"Himachal Pradesh",Hamirpur,Hamirpur(Nadaun),"French Beans (Frasbean)",Other,FAQ,23/04/2025,4000,4500,4200
"Himachal Pradesh",Hamirpur,Hamirpur(Nadaun),"Green Chilli",Other,FAQ,23/04/2025,5000,5000,5000
"Himachal Pradesh",Hamirpur,Hamirpur(Nadaun),Lemon,Other,FAQ,23/04/2025,12000,13000,12500
"Himachal Pradesh",Hamirpur,Hamirpur(Nadaun),Onion,Other,FAQ,23/04/2025,1800,2000,1900
"Himachal Pradesh",Hamirpur,Hamirpur(Nadaun),Pineapple,Other,Medium,23/04/2025,5000,5500,5200
"Himachal Pradesh",Kangra,Dharamshala,Brinjal,Other,FAQ,23/04/2025,1500,1600,1550
"Himachal Pradesh",Kangra,Dharamshala,Coriander(Leaves),Other,FAQ,23/04/2025,3500,4000,3750
"Himachal Pradesh",Kangra,Dharamshala,Papaya,Other,Medium,23/04/2025,3500,4000,3750
"Himachal Pradesh",Kangra,Kangra,Banana,Other,Medium,23/04/2025,4000,5000,4500
"Himachal Pradesh",Kangra,Kangra,"Bottle gourd",Other,FAQ,23/04/2025,1200,1800,1500
"Himachal Pradesh",Kangra,Kangra,Brinjal,Other,FAQ,23/04/2025,1200,2000,1500
"Himachal Pradesh",Kangra,Kangra,Coriander(Leaves),Other,FAQ,23/04/2025,4000,5000,4500
"Himachal Pradesh",Kangra,Kangra,Garlic,Average,FAQ,23/04/2025,8000,9000,8500
"Himachal Pradesh",Kangra,Kangra,Pumpkin,Other,FAQ,23/04/2025,700,800,800
"Himachal Pradesh",Kangra,Kangra,"Sponge gourd",Other,FAQ,23/04/2025,4000,4500,4200
"Himachal Pradesh",Kangra,Kangra,Tinda,Other,FAQ,23/04/2025,4500,5000,4700
"Himachal Pradesh",Kangra,Kangra(Baijnath),Brinjal,Brinjal,FAQ,23/04/2025,1800,2100,2000
"Himachal Pradesh",Kangra,Kangra(Baijnath),Cauliflower,Cauliflower,FAQ,23/04/2025,1200,1600,1500
"Himachal Pradesh",Kangra,Kangra(Baijnath),Coriander(Leaves),Coriander,FAQ,23/04/2025,4500,5000,4500
"Himachal Pradesh",Kangra,Kangra(Baijnath),"Water Melon",Other,Medium,23/04/2025,2000,2200,2100
"Himachal Pradesh",Kangra,Kangra(Jaisinghpur),"Bitter gourd","Bitter Gourd",FAQ,23/04/2025,3800,4200,4000
"Himachal Pradesh",Kangra,Kangra(Jaisinghpur),Cucumbar(Kheera),Cucumbar,FAQ,23/04/2025,1600,1900,1700
"Himachal Pradesh",Kangra,Kangra(Jaisinghpur),"Mousambi(Sweet Lime)",Mousambi,Medium,23/04/2025,5200,5400,5300
"Himachal Pradesh",Kangra,Kangra(Jaisinghpur),Potato,Potato,FAQ,23/04/2025,1000,1200,1100
"Himachal Pradesh",Kangra,"Kangra(Nagrota Bagwan)",Pomegranate,Other,Medium,23/04/2025,9000,10000,9500
"Himachal Pradesh",Kangra,"Kangra(Nagrota Bagwan)",Tomato,Deshi,FAQ,23/04/2025,1800,2000,1900
"Himachal Pradesh",Kangra,Palampur,Onion,Other,FAQ,23/04/2025,1900,2000,1950
"Himachal Pradesh",Kangra,Palampur,Papaya,Other,Medium,23/04/2025,3200,3500,3300
"Himachal Pradesh",Kangra,Palampur,Pomegranate,Other,Medium,23/04/2025,9000,9500,9200
"Himachal Pradesh",Kangra,Palampur,Raddish,Raddish,FAQ,23/04/2025,1800,2000,1900
"Himachal Pradesh",Kangra,Palampur,"Water Melon",Other,Medium,23/04/2025,1600,2000,1800
"Himachal Pradesh",Shimla,"Shimla and Kinnaur(Rampur)",Coriander(Leaves),Coriander,FAQ,23/04/2025,4000,5000,4500
"Himachal Pradesh",Shimla,"Shimla and Kinnaur(Rampur)","Leafy Vegetable","Leafy Vegetables",FAQ,23/04/2025,5000,5500,5200
"Himachal Pradesh",Solan,Solan,Apple,Apple,Medium,23/04/2025,10000,17500,15000
"Himachal Pradesh",Solan,Solan,"Bitter gourd",Other,FAQ,23/04/2025,2000,3000,2500
"Himachal Pradesh",Solan,Solan,Pineapple,Other,Medium,23/04/2025,4500,7000,5000
"Himachal Pradesh",Solan,Solan,Pumpkin,Other,FAQ,23/04/2025,500,800,600
"Himachal Pradesh",Solan,Solan,Raddish,Other,FAQ,23/04/2025,1000,2000,1500
"Himachal Pradesh",Solan,Solan(Nalagarh),Capsicum,Other,FAQ,23/04/2025,1500,1800,1700
"Himachal Pradesh",Solan,Solan(Nalagarh),Cauliflower,Other,FAQ,23/04/2025,600,800,700
"Himachal Pradesh",Solan,Solan(Nalagarh),Raddish,Other,FAQ,23/04/2025,1400,1800,1600
"Himachal Pradesh",Solan,Solan(Nalagarh),Tomato,Other,FAQ,23/04/2025,1600,1800,1700
"Himachal Pradesh",Solan,Solan(Nalagarh),"Water Melon",Other,Medium,23/04/2025,1200,1500,1400
"Jammu and Kashmir",Jammu,Batote,Cucumbar(Kheera),Other,FAQ,23/04/2025,1400,1600,1500
"Jammu and Kashmir",Jammu,Batote,Onion,Other,FAQ,23/04/2025,2400,2600,2500
"Jammu and Kashmir",Jammu,Batote,Pomegranate,Other,Medium,23/04/2025,9000,11000,10000
Karnataka,Bangalore,Ramanagara,Beans,"Beans (Whole)",FAQ,23/04/2025,4000,6000,5000
Karnataka,Bangalore,Ramanagara,Brinjal,Brinjal,FAQ,23/04/2025,800,1600,1200
Karnataka,Bangalore,Ramanagara,"Bunch Beans","Bunch Beans",FAQ,23/04/2025,2400,3200,3000
Karnataka,Bangalore,Ramanagara,Capsicum,Capsicum,FAQ,23/04/2025,3000,4000,3600
Karnataka,Bangalore,Ramanagara,Drumstick,Drumstick,FAQ,23/04/2025,3600,4500,4000
Karnataka,Bangalore,Ramanagara,Seemebadnekai,Seemebadanekai,FAQ,23/04/2025,1600,2200,2000
Karnataka,Chamrajnagar,"Chamaraj Nagar","Knool Khol","Knool Khol",FAQ,23/04/2025,2000,3000,2500
Karnataka,Kolar,Malur,Beans,"Beans (Whole)",FAQ,23/04/2025,4000,6000,5050
Kerala,Alappuzha,Chengannur,"Banana - Green","Banana - Green",FAQ,23/04/2025,5300,5600,5400
Kerala,Alappuzha,Chengannur,Carrot,Other,FAQ,23/04/2025,3800,4100,4000
Kerala,Alappuzha,Chengannur,Cucumbar(Kheera),Other,FAQ,23/04/2025,1000,1300,1200
Kerala,Alappuzha,Cherthala,Amaranthus,Other,FAQ,23/04/2025,5000,5200,5100
Kerala,Alappuzha,Cherthala,Ashgourd,Other,FAQ,23/04/2025,2000,2200,2100
Kerala,Alappuzha,Cherthala,Cabbage,Cabbage,FAQ,23/04/2025,3500,3700,3600
Kerala,Alappuzha,Harippad,Capsicum,Other,FAQ,23/04/2025,7000,7600,7000
Kerala,Alappuzha,Harippad,Colacasia,Other,FAQ,23/04/2025,8000,8600,8000
Kerala,Alappuzha,Kayamkulam,Beetroot,Other,FAQ,23/04/2025,1700,1900,1800
Kerala,Alappuzha,Kayamkulam,"Bhindi(Ladies Finger)",Other,FAQ,23/04/2025,2400,2600,2500
Kerala,Alappuzha,Kayamkulam,"Bitter gourd",Other,FAQ,23/04/2025,5500,5700,5600
Kerala,Alappuzha,Kayamkulam,Cabbage,Other,FAQ,23/04/2025,1900,2100,2000
Kerala,Alappuzha,Kayamkulam,Cauliflower,Other,FAQ,23/04/2025,2600,2800,2700
Kerala,Alappuzha,Kayamkulam,Cowpea(Veg),Other,FAQ,23/04/2025,4400,4600,4500
